County,6,8,10,11,15,17,18.5,20,22,24,27,31,35,39,41,43,44,45,49,51,53,54,58,60,61,63,64,67,70,73,76,81,84,87,90,93,96,99,103,105
Bay,750,750,749,748,747,746,746,746,745,744,741,739,732,727,722,718,717,716,708,700,694,690,679,670,667,663,657,651,635,618,556,410,340,286,269,243,154,75,13,0
Brevard,3251,3247,3243,3240,3208,3173,3156,3122,3005,2917,2710,2507,2212,1991,1762,1574,1477,1400,1137,889,725,637,348,231,188,73,32,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,1014,1006,1006,1003,974,934,910,856,730,612,385,222,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collier,2288,2275,2262,2248,2176,2103,2064,2003,1809,1628,1233,936,555,300,117,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escambia,898,898,898,898,898,895,892,889,878,873,862,845,829,816,800,793,787,784,770,753,743,737,713,701,693,684,677,665,643,627,581,505,427,317,258,155,54,10,0,0
Flagler,599,599,599,599,596,591,587,580,560,543,496,459,400,351,306,269,252,237,188,143,114,93,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian River,1181,1179,1176,1173,1148,1129,1116,1098,1037,978,857,757,610,509,403,334,302,273,183,104,60,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,4685,4682,4660,4645,4565,4449,4394,4309,3994,3721,3114,2609,1865,1253,684,347,203,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,138,136,134,133,118,102,92,72,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin,1040,1038,1035,1025,1010,986,976,960,903,855,755,677,563,487,413,356,327,307,245,193,158,136,79,52,41,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,255,254,253,253,249,239,234,228,212,195,159,129,110,87,49,25,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nassau,200,200,199,198,197,193,193,190,186,180,175,168,160,152,144,137,130,129,122,112,105,101,88,78,73,65,60,53,26,15,0,0,0,0,0,0,0,0,0,0
Okaloosa,1039,1037,1037,1037,1035,1033,1032,1031,1025,1016,1001,988,965,948,933,920,910,908,893,880,862,858,826,810,805,788,781,763,722,690,600,455,299,134,74,28,0,0,0,0
Palm Beach,9507,9484,9444,9393,9270,9150,9080,8986,8652,8379,7755,7232,6474,5906,5363,4956,4755,4589,3944,3103,2525,2236,1426,1002,849,503,340,137,0,0,0,0,0,0,0,0,0,0,0,0
Pasco,1955,1952,1949,1949,1938,1920,1911,1890,1829,1779,1654,1547,1375,1229,1094,988,938,900,779,655,569,506,313,236,193,115,66,14,0,0,0,0,0,0,0,0,0,0,0,0
Pinellas,4250,4247,4243,4239,4213,4169,4143,4117,3988,3872,3633,3426,3105,2860,2615,2429,2324,2240,1927,1493,1206,1050,602,390,304,139,69,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rosa,749,749,749,749,749,749,748,747,745,743,739,733,722,716,707,701,694,690,679,669,660,656,645,632,630,621,617,606,585,561,513,452,377,283,227,160,103,52,0,0
St. Johns,2059,2059,2058,2057,2047,2041,2036,2025,1986,1957,1902,1848,1759,1693,1624,1583,1553,1531,1460,1398,1339,1300,1201,1139,1114,1037,996,917,534,334,52,0,0,0,0,0,0,0,0,0
St. Lucie,1588,1588,1580,1578,1564,1546,1540,1528,1476,1420,1319,1214,1064,953,829,731,678,635,514,379,290,246,104,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volusia,3134,3133,3129,3126,3110,3082,3063,3036,2942,2846,2626,2414,2084,1878,1621,1470,1357,1292,1064,848,687,602,378,282,240,149,106,48,0,0,0,0,0,0,0,0,0,0,0,0
Walton,450,450,450,450,450,450,448,448,446,445,442,442,436,434,425,423,423,421,414,406,402,402,395,392,392,391,390,389,386,383,363,318,275,203,164,104,22,0,0,0
Total,41030,40963,40853,40741,40262,39680,39361,38861,37183,35717,32558,29892,26075,23290,20611,18784,17849,17178,15027,12725,11139,10285,7830,6656,6199,5243,4792,4243,3531,3228,2665,2140,1718,1223,992,690,333,137,13,0